App,Category,Rating,Reviews,Size_MBs,Installs,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
Ak Parti Yardım Toplama,SOCIAL,NaN,0,8.7,0,Paid,$13.99 ,Teen,Social,28-Jul-17,4.1 and up
Ain Arabic Kids Alif Ba ta,FAMILY,NaN,0,33,0,Paid,$2.99 ,Everyone,Education,15-Apr-16,3.0 and up
Popsicle Launcher for Android P 9.0 launcher,PERSONALIZATION,NaN,0,5.5,0,Paid,$1.49 ,Everyone,Personalization,11-Jul-18,4.2 and up
Command & Conquer: Rivals,FAMILY,NaN,0,19,0,NaN,0,Everyone 10+,Strategy,28-Jun-18,Varies with device
CX Network,BUSINESS,NaN,0,10,0,Free,0,Everyone,Business,6-Aug-18,4.1 and up
Test Application DT 02,ART_AND_DESIGN,NaN,0,1.2,0,Free,0,Everyone,Art & Design,14-Mar-17,4.2 and up
Pekalongan CJ,SOCIAL,NaN,0,5.9,0,Free,0,Teen,Social,21-Jul-18,4.4 and up
EG | Explore Folegandros,TRAVEL_AND_LOCAL,NaN,0,56,0,Paid,$3.99 ,Everyone,Travel & Local,22-Jan-17,4.1 and up
cronometra-br,PRODUCTIVITY,NaN,0,5.4,0,Paid,$154.99 ,Everyone,Productivity,24-Nov-17,4.1 and up
Eu sou Rico,FINANCE,NaN,0,2.6,0,Paid,$30.99 ,Everyone,Finance,9-Jan-18,4.0 and up
AP Series Solution Pro,FAMILY,NaN,0,7.4,0,Paid,$1.99 ,Everyone,Education,30-Jul-17,4.0 and up
EP Cook Book,MEDICAL,NaN,0,3.2,0,Paid,$200.00 ,Everyone,Medical,26-Jul-15,3.0 and up
Sweden Newspapers,NEWS_AND_MAGAZINES,NaN,0,2.1,0,Free,0,Everyone,News & Magazines,7-Jul-18,4.4 and up
Eu Sou Rico,FINANCE,NaN,0,1.4,0,Paid,$394.99 ,Everyone,Finance,11-Jul-18,4.0.3 and up
I'm Rich/Eu sou Rico/أنا غني/我很有錢,LIFESTYLE,NaN,0,40,0,Paid,$399.99 ,Everyone,Lifestyle,1-Dec-17,4.1 and up
EJ Trívia Game,FAMILY,NaN,1,19,1,Free,0,Everyone,Puzzle,19-Jul-18,4.1 and up
Amleen Ey,SOCIAL,NaN,0,19,1,Free,0,Everyone,Social,24-Jul-17,4.1 and up
amm dz,FINANCE,NaN,0,14,1,Paid,$5.99 ,Everyone,Finance,8-Jul-18,4.2 and up
Dz kayas,FINANCE,NaN,0,14,1,Paid,$28.99 ,Everyone,Finance,12-Jul-18,4.2 and up
YAKALA AY,GAME,NaN,0,14,1,Paid,$0.99 ,Everyone,Arcade,7-Jul-18,4.1 and up
CQ Electrical Group,PRODUCTIVITY,NaN,0,14,1,Free,0,Everyone,Productivity,19-Jul-18,4.1 and up
KBA-EZ Health Guide,MEDICAL,5,4,25,1,Free,0,Everyone,Medical,2-Aug-18,4.0.3 and up
BV Productions,BUSINESS,NaN,0,2.8,1,Free,0,Everyone,Business,25-Oct-16,4.0 and up
F-O-Meter,FAMILY,NaN,0,2.8,1,Free,0,Mature 17+,Entertainment,2-Aug-18,4.0 and up
WAH 247,MEDICAL,NaN,0,29,1,Free,0,Everyone,Medical,20-Jul-18,4.0.3 and up
Kay AH GA,MEDICAL,NaN,0,29,1,Free,0,Everyone,Medical,15-Feb-18,4.0.3 and up
Ek-yatri: Travel where you Belong,TRAVEL_AND_LOCAL,NaN,0,29,1,Free,0,Everyone,Travel & Local,1-Aug-18,4.4 and up
Visualmed,MEDICAL,NaN,0,3.1,1,Paid,$2.99 ,Everyone,Medical,1-Aug-18,4.1 and up
Ra Ga Ba,GAME,5,2,20,1,Paid,$1.49 ,Everyone,Arcade,8-Feb-17,2.3 and up
Cathy AH,TOOLS,NaN,0,20,1,Free,0,Everyone,Tools,16-Jul-18,4.1 and up
Learn CW,FAMILY,NaN,0,21,1,Paid,$2.49 ,Everyone,Education,6-Apr-18,4.3 and up
Pistolet CZ-70 CZ-50 expliqué,BOOKS_AND_REFERENCE,NaN,0,17,1,Paid,$5.99 ,Everyone,Books & Reference,1-Nov-16,1.6 and up
CE AR LOG,LIFESTYLE,NaN,0,23,1,Free,0,Everyone,Lifestyle,11-Jul-18,4.1 and up
EC-Contractors,HOUSE_AND_HOME,NaN,0,6,1,Free,0,Everyone,House & Home,25-Apr-18,4.0.3 and up
Wallpapers FN Herstal FNP 9,PERSONALIZATION,NaN,0,11,1,Free,0,Teen,Personalization,12-Apr-18,4.1 and up
orderin.bm,FOOD_AND_DRINK,NaN,0,14.5,1,Free,0,Everyone,Food & Drink,1-Aug-18,Varies with device
D+H Reaction Wall,GAME,NaN,0,36,1,Paid,$0.99 ,Everyone,Arcade,24-Jul-16,Varies with device
Bi-Tank Ads Free,GAME,NaN,0,36,1,Paid,$0.99 ,Everyone,Arcade,31-Jul-17,4.1 and up
db Meter - sound level meter with data logging,TOOLS,NaN,0,15,1,Paid,$1.49 ,Everyone,Tools,15-Mar-18,4.1 and up
PlusOne,DATING,NaN,0,10,1,Free,0,Mature 17+,Dating,17-Jul-18,4.2 and up
FK Sileks,SPORTS,NaN,0,26,1,Free,0,Everyone,Sports,18-Mar-18,4.1 and up
FK Bregalnica Štip,SPORTS,NaN,0,26,1,Free,0,Everyone,Sports,24-Feb-18,4.1 and up
MyWoundDoctor - Provider,MEDICAL,NaN,0,3.5,1,Free,0,Everyone,Medical,27-Jul-18,5.0 and up
Pureness Pacify (Android P) - Theme for Xperia™,PERSONALIZATION,NaN,0,3.6,1,Paid,$1.49 ,Everyone,Personalization,23-Jul-18,6.0 and up
Healthy Relationships Guide,DATING,NaN,0,8.2,1,Free,0,Everyone,Dating,31-Jul-18,4.0.3 and up
BA SALES,COMMUNICATION,NaN,0,2.9,1,Free,0,Everyone,Communication,31-Jan-18,4.0.3 and up
DT Freight,PRODUCTIVITY,NaN,0,54,1,Free,0,Everyone,Productivity,29-Nov-17,4.0.3 and up
Mu.F.O.,GAME,5,2,16,1,Paid,$0.99 ,Everyone,Arcade,3-Mar-17,2.3 and up
AQ Math Facts,FAMILY,NaN,1,16,1,Paid,$2.99 ,Everyone,Educational,17-May-17,4.0 and up
DK Primrose for KLWP,PERSONALIZATION,NaN,0,16,1,Paid,$0.99 ,Everyone,Personalization,2-Dec-17,4.4 and up
Ay Peruk,BUSINESS,NaN,0,3.4,1,Free,0,Everyone,Business,31-Oct-17,4.0 and up
New CL 2ne1 Wallpaper KPOP live,PERSONALIZATION,NaN,0,3.4,1,Free,0,Everyone,Personalization,1-Aug-18,4.0 and up
CL 2ne1 Wallpaper KPOP Fans All,PERSONALIZATION,NaN,0,3.4,1,Free,0,Everyone,Personalization,29-Jul-18,4.0 and up
BH Connect,SOCIAL,NaN,0,32,1,Free,0,Teen,Social,22-Mar-18,4.0.3 and up
DZ Register,PRODUCTIVITY,NaN,0,18,1,Free,0,Everyone,Productivity,31-Jul-18,4.1 and up
Michael's AG Sound Board,FAMILY,NaN,0,1.7,1,Paid,$0.99 ,Everyone,Entertainment,12-Dec-17,1.6 and up
FQ - Football Quiz,SPORTS,NaN,1,9,1,Free,0,Everyone,Sports,29-May-18,5.0 and up
FP Transportation,AUTO_AND_VEHICLES,NaN,1,0.864257813,1,Free,0,Everyone,Auto & Vehicles,9-Mar-18,4.0 and up
BP Fitness Lead Scanner,EVENTS,NaN,0,6.7,1,Paid,$109.99 ,Everyone,Events,23-Aug-17,4.1 and up
Kenny e o Cupcake,FAMILY,NaN,0,6.7,1,Free,0,Everyone,Arcade;Action & Adventure,19-Jul-18,2.1 and up
EC Sampler,PRODUCTIVITY,NaN,0,30,1,Free,0,Everyone,Productivity,31-Jul-18,4.0.3 and up
DQ Akses,TOOLS,NaN,0,2.6,1,Free,0,Everyone,Tools,6-Jul-18,2.1 and up
