,0
0,alabama
1,arizona
2,arkansas
3,colorado
4,connecticut
5,delaware
6,idaho
7,illinois
8,indiana
9,kansas
10,kentucky
11,louisiana
12,maine
13,massachusetts
14,michigan
15,minnesota
16,mississippi
17,missouri
18,montana
19,nebraska
20,nevada
21,new hampshire
22,new mexico
23,north carolina
24,north dakota
25,ohio
26,oklahoma
27,oregon
28,pennsylvania
29,rhode island
30,south carolina
31,south dakota
32,tennessee
33,utah
34,vermont
35,virginia
36,washington
37,west virginia
38,wisconsin
39,wyoming
